id,is_planned,landing_points,leng,owners,cable_name,rfs,notes,cable_url,rfs_year,suppliers,capacity,create_time,update_time
2africa,1,luanda-angola|manama-bahrain|moroni-comoros|muanda-congo-dem-rep-|pointe-noire-congo-rep-|abidjan-cte-divoire|djibouti-city-djibouti|port-said-egypt|ras-ghareb-egypt|suez-egypt|zafarana-egypt|marseille-france|libreville-gabon|accra-ghana|mumbai-india|al-faw-iraq|genoa-italy|mombasa-kenya|kuwait-city-kuwait|mahajanga-madagascar|maputo-mozambique|nacala-mozambique|kwa-ibo-nigeria|lagos-nigeria|barka-oman|salalah-oman|karachi-pakistan|carcavelos-portugal|doha-qatar|al-khobar-saudi-arabia|duba-saudi-arabia|jeddah-saudi-arabia|yanbu-saudi-arabia|dakar-senegal|carana-seychelles|mogadishu-somalia|cape-town-south-africa|mtunzini-south-africa|port-elizabeth-south-africa|barcelona-spain|gran-canaria-canary-islands-spain|port-sudan-sudan|dar-es-salaam-tanzania|abu-dhabi-united-arab-emirates|kalba-united-arab-emirates|bude-united-kingdom,45000,China Mobile|MTN|Meta|Orange|Saudi Telecom|Telecom Egypt|Vodafone|WIOCC,2Africa,2023,,https://www.2africacable.com/,2023,ASN,180.0,2022-12-19 22:58:51,2022-12-19 22:58:54
acs-alaska-oregon-network-akorn,0,anchorage-ak-united-states|florence-or-united-states|homer-ak-united-states|nikiski-ak-united-states,3000,Alaska Communications,ACS Alaska-Oregon Network (AKORN),2009 April,,https://www.alaskacommunications.com,2009,Subcom,0.0,2022-12-19 22:58:51,2022-12-19 22:58:54
aden-djibouti,0,djibouti-city-djibouti|aden-yemen,269,Djibouti Telecom|Orange|Tata Communications|TeleYemen|Telecom Italia Sparkle,Aden-Djibouti,1994,,http://www.teleyemen.com.ye,1994,ASN,0.0,2022-12-19 22:58:51,2022-12-19 22:58:54
adria-1,0,durres-albania|dubrovnik-croatia|corfu-greece,440,ALBtelecom|Hrvatski Telekom,Adria-1,1996 September,,,1996,ASN,0.0,2022-12-19 22:58:51,2022-12-19 22:58:54
aec-1,0,killala-ireland|shirley-ny-united-states,5521,Aqua Comms,AEC-1,2016 January,,http://www.aquacomms.com,2016,Subcom,55.0,2022-12-19 22:58:51,2022-12-19 22:58:54
africa-1,1,djibouti-city-djibouti|port-said-egypt|ras-ghareb-egypt|marseille-france|mombasa-kenya|karachi-pakistan|duba-saudi-arabia|berbera-somalia|kalba-united-arab-emirates|mocha-yemen,10000,Etisalat UAE|G42|Mobily|Pakistan Telecommunications Company Ltd.|Telecom Egypt,Africa-1,2023 Q4,,,2023,ASN,0.0,2022-12-19 22:58:51,2022-12-19 22:58:54
africa-coast-to-europe-ace,0,cotonou-benin|kribi-cameroon|abidjan-cte-divoire|bata-equatorial-guinea|penmarch-france|libreville-gabon|banjul-gambia|accra-ghana|conakry-guinea|suro-guinea-bissau|monrovia-liberia|nouakchott-mauritania|lagos-nigeria|carcavelos-portugal|sao-tome-sao-tome-and-principe|dakar-senegal|freetown-sierra-leone|duynefontein-south-africa|granadilla-canary-islands-spain,17000,Benin ACE GIE|Cable Consortium of Liberia|Canalink|Dolphin Telecom|GUILAB|Gambia Submarine Cable Company|International Mauritania Telecom|MTN|Orange|Orange Cameroun|Orange Cote d’Ivoire|Orange Mali|Republic of Cameroon|Republic of Equatorial Guinea|Republic of Gabon|Republic of Guinea Bissau|STP Cabo|Sierra Leone Cable Company|Sonatel|Zamani Telecom,Africa Coast to Europe (ACE),2012 December,,https://ace-submarinecable.com/,2012,ASN,12.8,2022-12-19 22:58:51,2022-12-19 22:58:54
alaska-united-east-au-east,0,juneau-ak-united-states|lynnwood-wa-united-states|valdez-ak-united-states|whittier-ak-united-states,3751,GCI Communication Corp,Alaska United East (AU-East),1999 February,,https://www.gci.com/,1999,Subcom,0.0,2022-12-19 22:58:51,2022-12-19 22:58:54
alaska-united-southeast-au-se,0,angoon-ak-united-states|hawk-inlet-ak-united-states|ketchikan-ak-united-states|petersburg-ak-united-states|sitka-ak-united-states|wrangell-ak-united-states,626,GCI Communication Corp,Alaska United Southeast (AU-SE),2008 November,,https://www.gci.com/,2008,Subcom,0.0,2022-12-19 22:58:51,2022-12-19 22:58:54
alaska-united-turnagain-arm-auta,0,mchugh-point-ak-united-states|portage-ak-united-states,53,GCI Communication Corp,Alaska United Turnagain Arm (AUTA),2012,,https://www.gci.com/,2012,,0.0,2022-12-19 22:58:51,2022-12-19 22:58:54
alaska-united-west-au-west,0,ketchikan-ak-united-states|seward-ak-united-states|warrenton-or-united-states,2485,GCI Communication Corp,Alaska United West (AU-West),2004 June,,https://www.gci.com/,2004,NEC,0.0,2022-12-19 22:58:51,2022-12-19 22:58:54
alba-1,0,santiago-de-cuba-cuba|siboney-cuba|ocho-rios-jamaica|la-guaira-venezuela,1860,Telecom Venezuela|Transbit,ALBA-1,2012 August,,,2012,ASN,5.12,2022-12-19 22:58:51,2022-12-19 22:58:54
aletar,0,alexandria-egypt|tartous-syria,787,Liban Telecom|Syrian Telecommunications Establishment|Telecom Egypt,Aletar,1997 April,,,1997,ASN,0.0,2022-12-19 22:58:51,2022-12-19 22:58:54
alonso-de-ojeda,0,baby-beach-aruba|willemstad-curaao,128,,Alonso de Ojeda,1999,,,1999,ASN,0.1,2022-12-19 22:58:51,2022-12-19 22:58:54
alpal-2,0,el-djamila-algeria|ses-covetes-spain,312,Algerie Telecom|Orange|Telecom Italia Sparkle|Telxius,ALPAL-2,2002 July,,,2002,Pirelli,0.0,2022-12-19 22:58:51,2022-12-19 22:58:54
america-movil-submarine-cable-system-1-amx-1,0,fortaleza-brazil|rio-de-janeiro-brazil|salvador-brazil|barranquilla-colombia|cartagena-colombia|schooner-bight-colombia|puerto-plata-dominican-republic|puerto-barrios-guatemala|cancn-mexico|hollywood-fl-united-states|jacksonville-fl-united-states|san-juan-pr-united-states,17800,América Móvil,America Movil Submarine Cable System-1 (AMX-1),2014,,http://www.americamovil.com,2014,ASN,50.0,2022-12-19 22:58:51,2022-12-19 22:58:54
americas-i-north,0,magens-bay-vi-united-states|vero-beach-fl-united-states,2012,AT&T,Americas-I North,1994 September,,,1994,Subcom,0.8,2022-12-19 22:58:51,2022-12-19 22:58:54
americas-ii,0,fortaleza-brazil|willemstad-curaao|cayenne-french-guiana|le-lamentin-martinique|port-of-spain-trinidad-and-tobago|hollywood-fl-united-states|miramar-pr-united-states|camuri-venezuela|st-croix-virgin-islands-u-s-,8373,AT&T|Altice Portugal|C&W Networks|CANTV|Corporacion Nacional de Telecomunicaciones (CNT)|Embratel|Lumen|Orange|T-Mobile|Tata Communications|Telecom Italia Sparkle|Verizon,Americas-II,2000 August,,,2000,Subcom,0.0,2022-12-19 22:58:51,2022-12-19 22:58:54
amerigo-vespucci,0,willemstad-curaao|kralendijk-bonaire-netherlands,85,Antelecom,Amerigo Vespucci,1999,,,1999,ASN,0.0,2022-12-19 22:58:51,2022-12-19 22:58:54
amitie,1,le-porge-france|bude-united-kingdom|lynn-ma-united-states,6792,Aqua Comms|Meta|Microsoft|Orange|Vodafone,Amitie,2022 Q1,,,2022,ASN,368.0,2022-12-19 22:58:51,2022-12-19 22:58:54
