id,name,latitude,longitude,create_time,update_time
aasiaat-greenland,"Aasiaat, Greenland",68.707,-52.8591,2022-12-19 22:59:33,2022-12-19 22:59:36
aberdeen-united-kingdom,"Aberdeen, United Kingdom",57.1538,-2.10681,2022-12-19 22:59:33,2022-12-19 22:59:36
abidjan-cte-divoire,"Abidjan, Côte d'Ivoire",5.32349,-4.02625,2022-12-19 22:59:33,2022-12-19 22:59:36
abu-dhabi-united-arab-emirates,"Abu Dhabi, United Arab Emirates",24.444,54.419,2022-12-19 22:59:33,2022-12-19 22:59:36
abu-talat-egypt,"Abu Talat, Egypt",31.0718,29.7025,2022-12-19 22:59:33,2022-12-19 22:59:36
accra-ghana,"Accra, Ghana",5.5585,-0.200914,2022-12-19 22:59:33,2022-12-19 22:59:36
achnaba-united-kingdom,"Achnaba, United Kingdom",56.0194,-5.36579,2022-12-19 22:59:33,2022-12-19 22:59:36
aden-yemen,"Aden, Yemen",12.8007,45.0335,2022-12-19 22:59:33,2022-12-19 22:59:36
aeng-batu-batu-indonesia,"Aeng Batu Batu, Indonesia",-5.34326,119.385,2022-12-19 22:59:33,2022-12-19 22:59:36
aethos-greece,"Aethos, Greece",39.6836,20.0154,2022-12-19 22:59:33,2022-12-19 22:59:36
agat-guam,"Agat, Guam",13.3853,144.658,2022-12-19 22:59:33,2022-12-19 22:59:36
agats-indonesia,"Agats, Indonesia",-5.53563,138.121,2022-12-19 22:59:33,2022-12-19 22:59:36
aguadilla-pr-united-states,"Aguadilla, PR, United States",18.4275,-67.1549,2022-12-19 22:59:33,2022-12-19 22:59:36
aguimes-canary-islands-spain,"Aguimes, Canary Islands, Spain",27.8955,-15.3907,2022-12-19 22:59:33,2022-12-19 22:59:36
aikerness-united-kingdom,"Aikerness , United Kingdom",59.3505,-2.95915,2022-12-19 22:59:33,2022-12-19 22:59:36
aitutaki-cook-islands,"Aitutaki, Cook Islands",-18.8257,-159.775,2022-12-19 22:59:33,2022-12-19 22:59:36
ajaccio-france,"Ajaccio, France",41.9193,8.73864,2022-12-19 22:59:33,2022-12-19 22:59:36
ajigaura-japan,"Ajigaura, Japan",36.3836,140.612,2022-12-19 22:59:33,2022-12-19 22:59:36
akita-japan,"Akita, Japan",39.692,140.344,2022-12-19 22:59:33,2022-12-19 22:59:36
akulivik-qc-canada,"Akulivik, QC, Canada",60.8177,-78.1442,2022-12-19 22:59:33,2022-12-19 22:59:36
akutan-ak-united-states,"Akutan, AK, United States",54.1356,-165.773,2022-12-19 22:59:33,2022-12-19 22:59:36
al-bayda-libya,"Al Bayda, Libya",32.8817,21.7417,2022-12-19 22:59:33,2022-12-19 22:59:36
al-bustan-oman,"Al Bustan, Oman",23.5761,58.6061,2022-12-19 22:59:33,2022-12-19 22:59:36
al-daayen-qatar,"Al Daayen, Qatar",25.5386,51.4519,2022-12-19 22:59:33,2022-12-19 22:59:36
al-faw-iraq,"Al Faw, Iraq",29.9237,48.5318,2022-12-19 22:59:33,2022-12-19 22:59:36
al-ghaydah-yemen,"Al Ghaydah, Yemen",16.2104,52.1824,2022-12-19 22:59:33,2022-12-19 22:59:36
al-hidd-bahrain,"Al Hidd, Bahrain",26.2416,50.6562,2022-12-19 22:59:33,2022-12-19 22:59:36
al-hudaydah-yemen,"Al Hudaydah, Yemen",14.6856,43.0085,2022-12-19 22:59:33,2022-12-19 22:59:36
al-kheesa-qatar,"Al-Kheesa, Qatar",25.2943,51.5194,2022-12-19 22:59:33,2022-12-19 22:59:36
al-khobar-saudi-arabia,"Al Khobar, Saudi Arabia",26.2866,50.2143,2022-12-19 22:59:33,2022-12-19 22:59:36
al-khums-libya,"Al Khums, Libya",32.6497,14.2644,2022-12-19 22:59:33,2022-12-19 22:59:36
al-safat-kuwait,"Al Safat, Kuwait",29.3699,47.9765,2022-12-19 22:59:33,2022-12-19 22:59:36
al-seeb-oman,"Al Seeb, Oman",23.6847,58.1761,2022-12-19 22:59:33,2022-12-19 22:59:36
aldeburgh-united-kingdom,"Aldeburgh, United Kingdom",52.1578,1.5906,2022-12-19 22:59:33,2022-12-19 22:59:36
alexandria-egypt,"Alexandria, Egypt",31.1919,29.8898,2022-12-19 22:59:33,2022-12-19 22:59:36
alexandria-nsw-australia,"Alexandria, NSW, Australia",-33.9137,151.196,2022-12-19 22:59:33,2022-12-19 22:59:36
