lp_id,lp_name,lp_country,lp_cables,create_time,update_time
aasiaat-greenland,"Aasiaat, Greenland",Greenland,greenland-connect-north,2022-12-19 22:59:40,2022-12-19 22:59:43
aberdeen-united-kingdom,"Aberdeen, United Kingdom",United Kingdom,tampnet-offshore-foc-network,2022-12-19 22:59:40,2022-12-19 22:59:43
abu-dhabi-united-arab-emirates,"Abu Dhabi, United Arab Emirates",United Arab Emirates,2africa|qatar-u-a-e-submarine-cable-system,2022-12-19 22:59:40,2022-12-19 22:59:43
abu-talat-egypt,"Abu Talat, Egypt",Egypt,asia-africa-europe-1-aae-1|europe-india-gateway-eig|middle-east-north-africa-mena-cable-systemgulf-bridge-international|peace-cable|seamewe-5|te-northtgn-eurasiaseacomalexandrosmedex,2022-12-19 22:59:40,2022-12-19 22:59:43
accra-ghana,"Accra, Ghana",Ghana,2africa|africa-coast-to-europe-ace|glo-1|mainone|sat-3wasc|west-africa-cable-system-wacs,2022-12-19 22:59:40,2022-12-19 22:59:43
achnaba-united-kingdom,"Achnaba, United Kingdom",United Kingdom,bt-highlands-and-islands-submarine-cable-system,2022-12-19 22:59:40,2022-12-19 22:59:43
aden-yemen,"Aden, Yemen",Yemen,aden-djibouti|asia-africa-europe-1-aae-1,2022-12-19 22:59:40,2022-12-19 22:59:43
aeng-batu-batu-indonesia,"Aeng Batu Batu, Indonesia",Indonesia,java-kalimantan-sulawesi-jakasusi,2022-12-19 22:59:40,2022-12-19 22:59:43
aethos-greece,"Aethos, Greece",Greece,italy-greece-1,2022-12-19 22:59:40,2022-12-19 22:59:43
agat-guam,"Agat, Guam",Guam,echo,2022-12-19 22:59:40,2022-12-19 22:59:43
agats-indonesia,"Agats, Indonesia",Indonesia,palapa-ring-east,2022-12-19 22:59:40,2022-12-19 22:59:43
aguadilla-pr-united-states,"Aguadilla, PR, United States",United States,boriken-submarine-cable-system-bscs,2022-12-19 22:59:40,2022-12-19 22:59:43
aguimes-canary-islands-spain,"Aguimes, Canary Islands, Spain",Spain,transcan-2,2022-12-19 22:59:40,2022-12-19 22:59:43
aikerness-united-kingdom,"Aikerness , United Kingdom",United Kingdom,bt-highlands-and-islands-submarine-cable-system,2022-12-19 22:59:40,2022-12-19 22:59:43
aitutaki-cook-islands,"Aitutaki, Cook Islands",Cook Islands,manatua,2022-12-19 22:59:40,2022-12-19 22:59:43
ajaccio-france,"Ajaccio, France",France,corse-continent-5-cc5,2022-12-19 22:59:40,2022-12-19 22:59:43
ajigaura-japan,"Ajigaura, Japan",Japan,eac-c2c|pacific-crossing-1-pc-1,2022-12-19 22:59:40,2022-12-19 22:59:43
akita-japan,"Akita, Japan",Japan,japan-information-highway-jih,2022-12-19 22:59:40,2022-12-19 22:59:43
akulivik-qc-canada,"Akulivik, QC, Canada",Canada,eastern-arctic-undersea-fibre-optic-network-eaufon,2022-12-19 22:59:40,2022-12-19 22:59:43
akutan-ak-united-states,"Akutan, AK, United States",United States,au-aleutian,2022-12-19 22:59:40,2022-12-19 22:59:43
al-bayda-libya,"Al Bayda, Libya",Libya,lfon-libyan-fiber-optic-network,2022-12-19 22:59:40,2022-12-19 22:59:43
al-bustan-oman,"Al Bustan, Oman",Oman,asia-africa-europe-1-aae-1,2022-12-19 22:59:40,2022-12-19 22:59:43
al-daayen-qatar,"Al Daayen, Qatar",Qatar,gulf-bridge-international-cable-system-gbicsmiddle-east-north-africa-mena-cable-system,2022-12-19 22:59:40,2022-12-19 22:59:43
al-faw-iraq,"Al Faw, Iraq",Iraq,2africa|falcon|gulf-bridge-international-cable-system-gbicsmiddle-east-north-africa-mena-cable-system,2022-12-19 22:59:40,2022-12-19 22:59:43
al-ghaydah-yemen,"Al Ghaydah, Yemen",Yemen,falcon,2022-12-19 22:59:40,2022-12-19 22:59:43
al-hidd-bahrain,"Al Hidd, Bahrain",Bahrain,gulf-bridge-international-cable-system-gbicsmiddle-east-north-africa-mena-cable-system,2022-12-19 22:59:40,2022-12-19 22:59:43
al-hudaydah-yemen,"Al Hudaydah, Yemen",Yemen,falcon|seamewe-5,2022-12-19 22:59:40,2022-12-19 22:59:43
al-kheesa-qatar,"Al-Kheesa, Qatar",Qatar,tata-tgn-gulf,2022-12-19 22:59:40,2022-12-19 22:59:43
al-khobar-saudi-arabia,"Al Khobar, Saudi Arabia",Saudi Arabia,2africa|falcon|gulf-bridge-international-cable-system-gbicsmiddle-east-north-africa-mena-cable-system|tata-tgn-gulf,2022-12-19 22:59:40,2022-12-19 22:59:43
al-khums-libya,"Al Khums, Libya",Libya,lfon-libyan-fiber-optic-network,2022-12-19 22:59:40,2022-12-19 22:59:43
al-safat-kuwait,"Al Safat, Kuwait",Kuwait,falcon,2022-12-19 22:59:40,2022-12-19 22:59:43
al-seeb-oman,"Al Seeb, Oman",Oman,falcon|gulf-bridge-international-cable-system-gbicsmiddle-east-north-africa-mena-cable-system|middle-east-north-africa-mena-cable-systemgulf-bridge-international|transworld-tw1,2022-12-19 22:59:40,2022-12-19 22:59:43
aldeburgh-united-kingdom,"Aldeburgh, United Kingdom",United Kingdom,farland-north,2022-12-19 22:59:40,2022-12-19 22:59:43
alexandria-egypt,"Alexandria, Egypt",Egypt,aletar|flag-europe-asia-fea|hawk|imewe|seamewe-3|seamewe-4,2022-12-19 22:59:40,2022-12-19 22:59:43
alexandria-nsw-australia,"Alexandria, NSW, Australia",Australia,indigo-central|southern-cross-cable-network-sccn|southern-cross-next,2022-12-19 22:59:40,2022-12-19 22:59:43
algiers-algeria,"Algiers, Algeria",Algeria,med-cable-network|medusa-submarine-cable-system|oran-valencia-orval,2022-12-19 22:59:40,2022-12-19 22:59:43
allen-philippines,"Allen, Philippines",Philippines,sorsogon-samar-submarine-fiber-optical-interconnection-project-sssfoip,2022-12-19 22:59:40,2022-12-19 22:59:43
alofi-niue,"Alofi, Niue",Niue,manatua,2022-12-19 22:59:40,2022-12-19 22:59:43
alor-indonesia,"Alor, Indonesia",Indonesia,kupang-alor-cable-systems,2022-12-19 22:59:40,2022-12-19 22:59:43
alotau-papua-new-guinea,"Alotau, Papua New Guinea",Papua New Guinea,kumul-domestic-submarine-cable-system,2022-12-19 22:59:40,2022-12-19 22:59:43
alsgarde-denmark,"Alsgarde, Denmark",Denmark,denmark-sweden-17,2022-12-19 22:59:40,2022-12-19 22:59:43
alta-vista-canary-islands-spain,"Alta Vista, Canary Islands, Spain",Spain,candalta|sat-3wasc|transcan-3,2022-12-19 22:59:40,2022-12-19 22:59:43
ambon-indonesia,"Ambon, Indonesia",Indonesia,smpcs-packet-1,2022-12-19 22:59:40,2022-12-19 22:59:43
amwaj-island-bahrain,"Amwaj Island, Bahrain",Bahrain,tata-tgn-gulf,2022-12-19 22:59:40,2022-12-19 22:59:43
anadyr-russia,"Anadyr, Russia",Russia,polar-express,2022-12-19 22:59:40,2022-12-19 22:59:43
anchorage-ak-united-states,"Anchorage, AK, United States",United States,acs-alaska-oregon-network-akorn|kodiak-kenai-fiber-link-kkfl,2022-12-19 22:59:40,2022-12-19 22:59:43
ancol-indonesia,"Ancol, Indonesia",Indonesia,link-3-phase-2|seamewe-3,2022-12-19 22:59:40,2022-12-19 22:59:43
ancon-ecuador,"Ancon, Ecuador",Ecuador,carnival-submarine-network-1-csn-1,2022-12-19 22:59:40,2022-12-19 22:59:43
andalsnes-norway,"Andalsnes, Norway",Norway,n0r5ke-viking,2022-12-19 22:59:40,2022-12-19 22:59:43
angoon-ak-united-states,"Angoon, AK, United States",United States,alaska-united-southeast-au-se,2022-12-19 22:59:40,2022-12-19 22:59:43
angra-do-heroismo-portugal,"Angra do Heroismo, Portugal",Portugal,azores-fiber-optic-system-afos,2022-12-19 22:59:40,2022-12-19 22:59:43
annaba-algeria,"Annaba, Algeria",Algeria,med-cable-network|seamewe-4|te-northtgn-eurasiaseacomalexandrosmedex,2022-12-19 22:59:40,2022-12-19 22:59:43
annobon-equatorial-guinea,"Annobon, Equatorial Guinea",Equatorial Guinea,ultramar-ge,2022-12-19 22:59:40,2022-12-19 22:59:43
antofagasta-chile,"Antofagasta, Chile",Chile,prat,2022-12-19 22:59:40,2022-12-19 22:59:43
anyer-indonesia,"Anyer, Indonesia",Indonesia,australia-singapore-cable-asc|biznet-nusantara-cable-system-1-bncs-1|sjjk,2022-12-19 22:59:40,2022-12-19 22:59:43
apia-samoa,"Apia, Samoa",Samoa,manatua|samoa-american-samoa-sas|tui-samoa,2022-12-19 22:59:40,2022-12-19 22:59:43
