"2Africa","2Africa/SHARP/EMIC-1"
"ACS Alaska-Oregon Network (AKORN)","ACS Alaska-Oregon Network (AKORN)"
"AEC-1","AEConnect-1 (AEC-1)"
"ALBA-1","ALBA-1"
"ALPAL-2","ALPAL-2"
"APCN-2","Asia Pacific Cable Network 2 (APCN-2)"
"ARCOS","ARCOS"
"ARSAT Submarine Fiber Optic Cable","ARSAT Submarine Fiber Optic Cable"
"AU-Aleutian","AU-Aleutian"
"Aden-Djibouti","Aden-Djibouti"
"Adria-1","ADRIA-1"
"Africa Coast to Europe (ACE)","Africa Coast to Europe (ACE)"
"Africa-1","Africa-1"
"Alaska United East (AU-East)","Alaska United East (AU-East)"
"Alaska United Southeast (AU-SE)","Alaska United Southeast (AU-SE)"
"Alaska United Turnagain Arm (AUTA)","Alaska United Turnagain Arm (AUTA)"
"Alaska United West (AU-West)","Alaska United West (AU-West)"
"Aletar","ALETAR"
"Alonso de Ojeda","Alonso de Ojeda"
"America Movil Submarine Cable System-1 (AMX-1)","America Movil Submarine Cable System-1 (AMX-1)"
"Americas-I North","Americas-I North"
"Americas-II","Americas-II"
"Amerigo Vespucci","Amerigo Vespucci"
"Amitie","Amitié/AEConnect-3 (AEC-3)"
"Antillas 1","ANTILLAS 1"
"Apollo","Apollo"
"Apollo East and West","Apollo East and West"
"Apricot","Apricot"
"Aqualink","Aqualink"
"Asia Africa Europe-1 (AAE-1)","Asia Africa Europe-1 (AAE-1)"
"Asia Connect Cable-1 (ACC-1)","Asia Connect Cable 1 (ACC1)"
"Asia Direct Cable (ADC)","Asia Direct Cable (ADC)"
"Asia Pacific Gateway (APG)","Asia Pacific Gateway (APG)"
"Asia Submarine-cable Express (ASE)/Cahaya Malaysia","Asia Submarine-cable Express (ASE)/Cahaya Malaysia"
"Asia-America Gateway (AAG) Cable System","Asia-America Gateway (AAG) Cable System"
"Atisa","Atisa"
"Atlantic Crossing-1 (AC-1)","Atlantic Crossing 1 (AC-1)"
"Atlas Offshore","Atlas Offshore"
"Australia-Japan Cable (AJC)","Australia-Japan Cable (AJC)"
"Australia-Singapore Cable (ASC)","Australia-Singapore Cable (ASC)"
"Avassa","Avassa"
"Azores Fiber Optic System (AFOS)","Azores Fiber Optic System (AFOS)"
"B2JS (Jakarta-Bangka-Batam-Singapore) Cable System","Jakarta-Bangka-Batam-Singapore (B2JS) Cable System"
"BALOK","BALOK"
"BCS East","BCS East"
"BCS East-West Interlink","BCS East-West Interlink"
"BCS North - Phase 1","BCS North - Phase 1"
"BCS North - Phase 2","BCS North - Phase 2"
"BERYTAR","BERYTAR"
"BRUSA","BRUSA"
"BT Highlands and Islands Submarine Cable System","BT-Highlands and Islands Submarine Cable System"
"BT North Sea","BT North Sea (ICENI & MERCATOR)"
"BT-MT-1","BT-MT-1"
"BUGIO","BUGIO"
"Bahamas 2","BAHAMAS-2"
"Bahamas Domestic Submarine Network (BDSNi)","Bahamas Domestic Submarine Network (BDSNi)"
"Bahamas Internet Cable System (BICS)","Bahamas Internet Cable System (BICS)"
"Balalink","BalaLink"
"Baltic Sea Submarine Cable","Baltic Sea Submarine Cable"
"Baltica","BALTICA"
"Bass Strait-1","Bass Strait-1"
"Bass Strait-2","Bass Strait-2"
"Basslink","Basslink"
"Batam Dumai Melaka (BDM) Cable System","Batam Dumai Melaka (BDM) Cable System"
"Batam Sarawak Internet Cable System (BaSICS)","Batam Sarawak Internet Cable System (BaSICS)"
"Batam Singapore Cable System (BSCS)","Batam Singapore Cable System (BSCS)"
"Batam-Rengit Cable System (BRCS)","Batam-Rengit Cable System (BRCS)"
"Bay of Bengal Gateway (BBG)","Bay of Bengal Gateway (BBG)"
"Bharat Lanka Cable System","Bharat Lanka Cable System"
"Bicentenario","Bicentenario"
"Bifrost","Bifrost"
"Biznet Nusantara Cable System-1 (BNCS-1)","Biznet Nusantara Cable System-1 (BNCS-1)"
"Blue","Blue"
"Bodo-Rost Cable","Bodo-Rost Cable"
"Boracay-Palawan Submarine Cable System (BPSCS)","Boracay-Palawan Submarine Cable System (BPSCS)"
"Botnia","Botnia"
"Brazilian Festoon","Brazilian Festoon"
"Bridge One","Bridge One"
"CADMOS","CADMOS"
"CAM Ring","CAM Ring"
"CANDALTA","CANDALTA"
"CANTAT-3","CANTAT-3"
"CAP-1","CAP-1 (f.k.a Bay to Bay Express (BtoBE))"
"COBRAcable","COBRAcable"
"COGIM","Câble Optique Gaspésie-Iles-de-la-Madeleine (COGIM)"
"Cabo Verde Telecom Domestic Submarine Cable Phase 1","Cabo Verde Telecom Domestic Submarine Cable Phase 1"
"Cabo Verde Telecom Domestic Submarine Cable Phase 2","Cabo Verde Telecom Domestic Submarine Cable Phase 2"
"Cabo Verde Telecom Domestic Submarine Cable Phase 3","Cabo Verde Telecom Domestic Submarine Cable Phase 3"
"Canalink","CanaLink"
"Caribbean Express (CX)","Caribbean Express (CX)"
"Caribbean Regional Communications Infrastructure Program (CARCIP)","Caribbean Regional Communications Infrastructure Program (CARCIP)"
"Caribbean-Bermuda U.S. (CBUS)","Caribbean-Bermuda U.S. (CBUS)"
"Carnival Submarine Network-1 (CSN-1)","Carnival Submarine Network-1 (CSN-1)"
"Caucasus Cable System","Caucasus Cable System"
"Cayman-Jamaica Fiber System (CJFS)","Cayman-Jamaica Fiber System (CJFS)"
"Ceiba-1","Ceiba-1"
"Ceiba-2","Ceiba-2"
"Celtic Norse","Celtic Norse"
"CeltixConnect-1 (CC-1)","CeltixConnect-1 (CC-1)"
"Challenger Bermuda-1 (CB-1)","Challenger Bermuda-1 (CB-1)"
"Channel Islands-9 Liberty Submarine Cable","Channel Islands-9 Liberty Submarine Cable"
"Chennai-Andaman & Nicobar Islands Cable","Chennai-Andaman & Nicobar Islands Cable (CANI)"
"Chuuk-Pohnpei Cable","Chuuk-Pohnpei Cable"
"Circe North","CIRCE North"
"Circe South","CIRCE South"
"Colombia-Florida Subsea Fiber (CFX-1)","Colombia-Florida Subsea Fiber (CFX-1)"
"Colombian Festoon","Colombian Festoon"
"Columbus-II b","COLUMBUS II"
"Columbus-III Azores-Portugal","COLUMBUS III"
"Comoros Domestic Cable System","Comoros Domestic Cable System"
"Concerto","Concerto"
"Confluence-1","Confluence-1"
"Converge Domestic Submarine Cable Network (CDSCN)","Converge Domestic Submarine Cable Network (CDSCN)"
"Cook Strait","Cook Strait"
"Coral Sea Cable System (CS²)","Coral Sea Cable System (CS2)"
"Corse-Continent 4 (CC4)","Corse-Continent 4 (CC4)"
"Corse-Continent 5 (CC5)","Corse-Continent 5 (CC5)"
"Cross-Straits Cable Network (CSCN)","Cross Straits Cable Network"
"CrossChannel Fibre","CrossChannel Fibre"
"Crosslake Fibre","Crosslake Fibre"
"Curie","Curie"
"DAMAI Cable System","DAMAI Cable System"
"DANICE","Danice"
"DOS CONTINENTES l & ll","DOS CONTINENTES 1 & 2"
"Danica North","Danica North"
"Darwin-Jakarta-Singapore Cable (DJSC)","Darwin-Jakarta-Singapore Cable (DJSC)"
"Deep Blue One","Deep Blue One"
"Denmark-Poland 2","Denmark-Poland 2"
"Denmark-Sweden 15","Denmark-Sweden 15"
"Denmark-Sweden 16","Denmark-Sweden 16"
"Denmark-Sweden 17","Denmark-Sweden 17"
"Denmark-Sweden 18","Denmark-Sweden 18"
"Denpasar-Waingapu Cable Systems","Denpasar-Waingapu Cable Systems"
"Dhiraagu Cable Network","Dhiraagu Cable Network"
"Dhiraagu-SLT Submarine Cable Network","Dhiraagu-SLT Submarine Cable Network"
"Didon","Didon"
"Djibouti Africa Regional Express 1 (DARE1)","Djibouti Africa Regional Express 1 (DARE1)"
"Dumai-Melaka Cable System","Dumai-Melaka Cable System"
"Dunant","Dunant"
"E-LLAN","E-LLAN"
"EAC-C2C","EAC-C2C"
"ECLink","ECLink"
"ESAT-1","ESAT 1"
"ESAT-2","ESAT 2"
"EXA Express","EXA Express (fka GTT Express)"
"EXA North and South","EXA North & South (fka GTT Atlantic)"
"East Coast Cable System","East Coast Cable System"
"East-West","East West Cable (EWC)"
"East-West Submarine Cable System","East-West Submarine Cable System"
"Eastern Africa Submarine System (EASSy)","Eastern Africa Submarine System (EASSY)"
"Eastern Arctic Undersea Fibre Optic Network (EAUFON)","Eastern Arctic Undersea Fibre Optic Network (EAUFON)"
"Eastern Caribbean Fiber System (ECFS)","Eastern Caribbean Fiber System (ECFS)"
"Eastern Light Sweden-Finland I","Eastern Light"
"Echo","Echo"
"Elektra-GlobalConnect 1 (GC1)","Elektra-GlobalConnect 1 (GC1)"
"EllaLink","EllaLink"
"Emerald Bridge Fibres","Emerald Bridge Fibres"
"Energinet Laeso-Varberg","Energinet Laeso-Varberg"
"Energinet Lyngsa-Laeso","Energinet Lyngsa-Laeso"
"Epic Malta-Sicily Cable System (EMSCS)","Epic Malta-Sicily Cable System (EMSCS)"
"Equiano","Equiano"
"Estepona-Tetouan","Estepona-Tetouan"
"Europe India Gateway (EIG)","Europe India Gateway (EIG)"
"Eviny Digital","Eviny Digital (fka BKK Digitek)"
"FALCON","FALCON/WARF"
"FARICE-1","Farice-1"
"FASTER","FASTER"
"FLAG Atlantic-1 (FA-1)","FLAG Atlantic 1 (FA-1)"
"FLAG Europe-Asia (FEA)","FLAG Europe Asia (FEA)"
"FLAG North Asia Loop/REACH North Asia Loop","FLAG North Asia Loop (FNAL)/REACH North Asia Loop (RNAL)"
"FLY-LION3","FLY-LION3"
"FOS Quellon-Chacabuco","FOS Quellon-Chacabuco"
"Far East Submarine Cable System","Far East Submarine Cable System"
"Farland North","Farland North (UK - NETHERLANDS 13)"
"Fehmarn Bält","Fehmarn Bält"
"Fiber Optic Gulf (FOG)","Fiber Optic Gulf (FOG)"
"Fibra Optica Austral","Fibra Optica Austral (FOA)"
"Fibra Optica al Pacífico","Fibra Optica al Pacífico"
"Fibralink","Fibralink"
"Finland Estonia Connection (FEC)","Finland Estonia Connection (FEC)"
"Finland-Estonia 2 (EESF-2)","Finland-Estonia 2 (EESF-2)"
"Finland-Estonia 3 (EESF-3)","Finland-Estonia 3 (EESF-3)"
"Firmina","Firmina"
"Flores-Corvo Cable System","Flores-Corvo Cable System"
"GO-1 Mediterranean Cable System","GO-1 Mediterranean Cable System"
"GTMO-1","GTMO-1"
"GTMO-PR","GTMO-PR"
"Galapagos Cable System","Galapagos Cable System"
"Gemini Bermuda","Gemini Bermuda"
"Geo-Eirgrid","Geo-Eirgrid"
"Georgia-Russia","Georgia-Russia"
"Germany-Denmark 3","Germany-Denmark 3"
"Glo-1","GLO-1 (Globacom-1)"
"Global Caribbean Network (GCN)","Global Caribbean Network (GCN)"
"GlobalConnect 2 (GC2)","GlobalConnect 2 (GC2)"
"GlobalConnect 3 (GC3)","GlobalConnect 3 (GC3)"
"GlobalConnect-KPN","GlobalConnect-KPN"
"GlobeNet","GlobeNet"
"Gondwana-1","Gondwana-1"
"Gondwana-2/Picot-2","Gondwana-2/Picot-2"
"Grace Hopper","Grace Hopper"
"Greenland Connect","Greenland Connect"
"Greenland Connect North","Greenland Connect North"
"Groix 4","Groix-4"
"Guadeloupe Cable des Iles du Sud (GCIS)","Guadeloupe Cable des Iles du Sud (GCIS)"
"Guam Okinawa Kyushu Incheon (GOKI)","Guam Okinawa Kyushu Incheon (GOKI)"
"Guernsey-Jersey-4","Guernsey-Jersey-4"
"Gulf Bridge International Cable System (GBICS)/Middle East North Africa (MENA) Cable System","Gulf Bridge International (GBI) Cable System/Middle East North Africa Cable System (MENA)"
"Gulf of California Cable","Gulf of California Cable"
"Gulf of Mexico Fiber Optic Network","Gulf of Mexico Fiber Optic Network"
"Gulf2Africa (G2A)","Gulf2Africa (G2A)"
"HANNIBAL System","HANNIBAL System"
"HANTRU1 Cable System","HANTRU1 Cable System"
"HICS (Hawaii Inter-Island Cable System)","Hawaii Inter-Island Cable System (HICS)"
"HIFN (Hawaii Island Fibre Network)","Hawaii Island Fibre Network (HIFN)"
"Hainan to Hong Kong Express (H2HE)","Hainan to Hong Kong Express (H2HE)"
"Havfrue/AEC-2","Havfrue/AEConnect-2(AEC-2)"
"Havhingsten/CeltixConnect-2 (CC-2)","Havhingsten/CeltixConnect-2 (CC-2)"
"Havhingsten/North Sea Connect (NSC)","Havhingsten/North Sea Connect (NSC)"
"Havsil","Havsil"
"Hawaiki","Hawaiki"
"Hawaiki Nui","Hawaiki Nui"
"Hawk","HAWK"
"High-capacity Undersea Guernsey Optical-fibre (HUGO)","High-capacity Undersea Guernsey Optical-fibre (HUGO)"
"Hokkaido-Akita Cable","Hokkaido-Akita Cable"
"Hokkaido-Sakhalin Cable System (HSCS)","Hokkaido-Sakhalin Cable System (HSCS)"
"Honotua","HONOTUA"
"Hronn","Hronn"
"IMEWE","India-Middle East-Western Europe(I-ME-WE/IMEWE)"
"INDIGO-Central","INDIGO-Central"
"INDIGO-West","INDIGO-West"
"INGRID","INGRID"
"IP-Only Denmark-Sweden","IP-Only Denmark-Sweden"
"IRIS","IRIS Cable System (Ireland-Iceland)"
"India Asia Xpress (IAX)","India Asia Xpress (IAX)"
"India Europe Xpress (IEX)","India Europe Xpress (IEX)"
"Indonesia Global Gateway (IGG) System","Indonesia Global Gateway (IGG) System"
"Interchange Cable Network 1 (ICN1)","Interchange Cable Network 1 (ICN1)"
"Ionian","Ionian"
"Isles of Scilly Cable","Isles of Scilly Cable"
"Italy-Albania","Italy-Albania"
"Italy-Croatia","Italy-Croatia"
"Italy-Greece 1","Italy-Greece 1 (IG-1)"
"Italy-Libya","Italy-Libya"
"Italy-Malta","Italy-Malta"
"Italy-Monaco","Italy-Monaco"
"Ixchel","Ixchel"
"JAKABARE","JAKABARE"
"JSCFS","JSCFS"
"JUNO","Juno"
"JUPITER","Jupiter"
"JaKa2LaDeMa","JaKa2LaDeMa"
"Jakarta Surabaya Cable System (JAYABAYA)","Jakarta Surabaya Cable System (JAYABAYA)"
"Jakarta-Bangka-Bintan-Batam-Singapore (B3JS)","Jakarta-Bangka-Bintan-Batam-Singapore (B3JS)"
"Jambi-Batam Cable System (JIBA)","Jambi-Batam Cable System (JIBA)"
"Janna","Janna"
"Japan Information Highway (JIH)","Japan Information Highway (JIH)"
"Japan-Guam-Australia North (JGA-N)","Japan-Guam-Australia North (JGA-N)"
"Japan-Guam-Australia South (JGA-S)","Japan-Guam-Australia South (JGA-S)"
"Japan-U.S. Cable Network (JUS)","Japan-U.S. Cable Network (JUS)"
"Java Bali Cable System (JBCS)","Java Bali Cable System (JBCS)"
"Java-Kalimantan-Sulawesi (JAKASUSI)","Java-Kalimantan-Sulawesi (JAKASUSI)"
"Jerry Newton","Jerry Newton"
"Jonah","JONAH"
"Junior","Junior"
"KAFOS","KAFOS"
"Kaliningrad Cable","Kaliningrad Cable"
"Kanawa","Kanawa"
"Kattegat 2","Kattegat 2"
"Kattittuq Nunavut Fibre Link","Kattittuq Nunavut Fibre Link"
"Kerch Strait Cable","Kerch Strait Cable"
"KetchCan1 Submarine Fiber Cable System","KetchCan1 Submarine Fiber Cable System"
"Kodiak Kenai Fiber Link (KKFL)","Kodiak Kenai Fiber Link (KKFL)"
"Korea-Japan Cable Network (KJCN)","Korea-Japan Cable Network (KJCN)"
"Kumul Domestic Submarine Cable System","Kumul Domestic Submarine Cable System"
