"2Africa","2Africa/SHARP/EMIC-1"
"AMX-3/Tikal",""
"ARIMAO",""
"Africa Coast to Europe (ACE)","Africa Coast to Europe (ACE)"
"Aletar","ALETAR"
"Almería-Melilla (ALME)",""
"Amitie","Amitié/AEConnect-3 (AEC-3)"
"Apollo","Apollo"
"Apollo East and West","Apollo East and West"
"Apricot","Apricot"
"Asia Connect Cable-1 (ACC-1)","Asia Connect Cable 1 (ACC1)"
"Asia Link Cable (ALC)",""
"B2JS (Jakarta-Bangka-Batam-Singapore) Cable System","Jakarta-Bangka-Batam-Singapore (B2JS) Cable System"
"BT Highlands and Islands Submarine Cable System","BT-Highlands and Islands Submarine Cable System"
"Bifrost","Bifrost"
"Boracay-Palawan Submarine Cable System (BPSCS)","Boracay-Palawan Submarine Cable System (BPSCS)"
"Boriken Submarine Cable System (BSCS)",""
"Bridge One","Bridge One"
"C-Lion1",""
"CADMOS-2",""
"CAM Ring","CAM Ring"
"CANDALTA","CANDALTA"
"Carnival Submarine Network-1 (CSN-1)","Carnival Submarine Network-1 (CSN-1)"
"Caucasus Cable System","Caucasus Cable System"
"Celtic Norse","Celtic Norse"
"Confluence-1","Confluence-1"
"Connected Coast",""
"Continente-Madeira",""
"Cross-Straits Cable Network (CSCN)","Cross Straits Cable Network"
"CrossChannel Fibre","CrossChannel Fibre"
"DAMAI Cable System","DAMAI Cable System"
"DOS CONTINENTES l & ll","DOS CONTINENTES 1 & 2"
"Dalian-Yantai Cable",""
"Denpasar-Waingapu Cable Systems","Denpasar-Waingapu Cable Systems"
"Digital E4",""
"E-LLAN","E-LLAN"
"ESAT-1","ESAT 1"
"East Coast Cable System","East Coast Cable System"
"East Micronesia Cable (EMC)",""
"East-West","East West Cable (EWC)"
"East-West Submarine Cable System","East-West Submarine Cable System"
"Eastern Africa Submarine System (EASSy)","Eastern Africa Submarine System (EASSY)"
"Eastern Light Sweden-Finland I","Eastern Light"
"Eastern Light Sweden-Finland II",""
"Echo","Echo"
"EllaLink","EllaLink"
"Energy Bridge Cable",""
"Eviny Digital","Eviny Digital (fka BKK Digitek)"
"Fibra Optica al Pacífico","Fibra Optica al Pacífico"
"Firmina","Firmina"
"Galapagos Cable System","Galapagos Cable System"
"Gold Data-1",""
"Groix 4","Groix-4"
"HANNIBAL System","HANNIBAL System"
"HDR1",""
"HDR2",""
"Haikou-Beihai Cable",""
"INDIGO-Central","INDIGO-Central"
"INDIGO-West","INDIGO-West"
"IRIS","IRIS Cable System (Ireland-Iceland)"
"Ionian","Ionian"
"Italy-Malta","Italy-Malta"
"JASUKA",""
"JUNO","Juno"
"Janna","Janna"
"Kattittuq Nunavut Fibre Link","Kattittuq Nunavut Fibre Link"
"Kochi-Lakshadweep Islands Cable",""
"La Gomera-El Hierro","La Gomera-El Hierro"
"Lanis-3","LANIS 3"
"Link 1 Phase-1","Link 1 Phase-1"
"Link 1 Phase-2","Link 1 Phase-2"
"Link 2 Phase-1","Link 2 Phase-1"
"Link 2 Phase-2","Link 2 Phase-2"
