"name_telegeography","name_infrapedia","name_submarine_networks","name_wiki"
"","APCN","","APCN"
"","APHRODITE-2","",""
"","AURORA Cable System (Non-Success)","",""
"","American Samoa - Hawaii (ASH) (EOL 2020)","",""
"","Americas-1 South","",""
"","Argentina-Brazil (ARBR) (Non-Success)","",""
"","Ariane 2","",""
"","Atlantis-2 (EOL Jan 10, 2022)","",""
"","Australia-Papua New Guinea-2 (APNG-2) (EOF 2020)","",""
"","Azerbaijan-Turkmenistan","",""
"","BARSAV (EOL 3/2018)","",""
"","BT-MT-1-NI","",""
"","Balkans-Italy Network (Non-Success)","",""
"","Black Sea Fibre Optic Cable System (BSFOCS)","Black Sea Fibre Optic System (KAFOS)","Black Sea Fiber-Optic Cable System (BSFOCS)"
"","CANUS-1 (EOL 2010)","",""
"","CIOS","",""
"","CORSAR (Corsica- Sardinia)","",""
"","Celtic","",""
"","China-US CN (CUCN)","China-US CN",""
"","Concerto North","","Concerto 1"
"","Corfu-Bar","",""
"","Danica South","",""
"","Denmark-Germany 2","",""
"","Denmark-Norway 5","",""
"","Denmark-Norway 6","",""
"","Diamond Cable (non-success)","",""
"","GigNet-1","",""
"","Glo-2","",""
"","Guam-Philippines Fiber Optic Submarine Cable System (G-P)","","Guam-Philippines Fiber Optic Submarine Cable System"
"","H2 Cable","",""
"","Havtor","",""
"","Hong Kong-Americas (HKA) (Non-Success)","",""
"","Hong Kong-Guam  (HK-G) (non-success)","",""
"","Humboldt Cable","Humboldt Cable System",""
"","IOX Cable (non-success)","",""
"","Interchange Cable Network 2 (ICN2)","",""
"","Ireland-France Cable-1 (IFC-1) (non-success)","",""
"","Italy - Turkey - Ukraine - Russia (ITUR)","",""
"","JASURAUS","JASURAUS","JASURAUS"
"","KINYRAS","KIMONAS",""
"","Kattegat 1 (EOL 2020)","",""
"","Kelibia-Trapani submarine cable (KELTRA-2)","",""
"","Lev Submarine System","MedNautilus Submarine System",""
"","Loukkos","",""
"","Maple Leaf Fibre","",""
"","NYNJ-1","",""
"","Nunavut Undersea Fibre Optic Network System (non-success)","",""
"","Orient Express (non-success)","",""
"","Pan American (PAN-AM)","",""
"","Pangea Baltic Loop","",""
"","Pangea North (EOL 2018)","",""
"","Pangea South (EOL 2018)","",""
"","RIOJA-3 (EOL Oct, 13 2006)","",""
"","Russia-Japan-Korea (RJK) (EOL 2008) (repurposed)","",""
"","SAT-2 (EOL Jan. 2013)","",""
"","SEA-H2X ","",""
"","Sines to Lisbon ","",""
"","Skagenfiber East","Skagen Fiber West",""
"","Swansea-Brean","",""
"","SxS (Success) (Non-Success)","",""
"","São Sebastião, Brazil","",""
"","TAGIDE-2","",""
"","TAT-14 (EOL Dec 2020)","",""
"","TURMEOS-1","",""
"","Tasman-2","",""
"","Tata TGN Northern Europe (EOL 2021)","",""
"","Thailand-Vietnam-Hong Kong (T-V-H) (EOL 2012)","",""
"","Trans Caspian Fiber Optic (TCFO)","",""
"","Trans-Pacific Cable 5 Cable Network (TPC-5CN)","Asia Pacific Cable Network (APCN)","TPC-5CN or Trans-Pacific Cable 5 Cable Network"
"","UK-Netherlands 14 (EOL 2006)","",""
"","ULYSSES","","ULYSSES"
"2Africa","2Africa/SHARP/EMIC-1","2Africa",""
"ACS Alaska-Oregon Network (AKORN)","ACS Alaska-Oregon Network (AKORN)","",""
"AEC-1","AEConnect-1 (AEC-1)","ACC-1","AEConnect (AEC-1)"
"AEConnect (AEC)",AEConnect-1 (AEC-1),ACC-1,"AEConnect (AEC-1)"
"AEConnect-1",AEConnect-1 (AEC-1),ACC-1,"AEConnect (AEC-1)"
"ALASIA","","ALASIA",""
"ALBA-1","ALBA-1","ALBA-1","ALBA-1"
"ALPAL-2","ALPAL-2","","ALPAL-2"
"APCN-2","Asia Pacific Cable Network 2 (APCN-2)","APCN-2","Asia-Pacific Cable Network 2"
"APX-Central","","",""
"APX-East","","",""
"APX-West","","",""
"ARBR","","ARBR",""
"ARCOS","ARCOS","ARCOS-1",""
"ARSAT Submarine Fiber Optic Cable","ARSAT Submarine Fiber Optic Cable","",""
"AU-Aleutian","AU-Aleutian","",""
"AURORA","","",""
"AURORA Cable System","","",""
"Aden-Djibouti","Aden-Djibouti","",""
"Adria-1","ADRIA-1","",""
"Africa Coast to Europe (ACE)","Africa Coast to Europe (ACE)","","Africa Coast to Europe (ACE)"
"Africa-1","Africa-1","",""
"Alaska United East","","",""
"Alaska United East (AU-East)","Alaska United East (AU-East)","",""
"Alaska United SEAFAST","","",""
"Alaska United South East","","",""
"Alaska United Southeast","","",""
"Alaska United Southeast (AU-SE)","Alaska United Southeast (AU-SE)","",""
"Alaska United Turnagain Arm (AUTA)","Alaska United Turnagain Arm (AUTA)","",""
"Alaska United West","","",""
"Alaska United West (AU-West)","Alaska United West (AU-West)","",""
"Aletar","ALETAR","Aletar","ALETAR"
"Algeria-Spain","","",""
"Alonso de Ojeda","Alonso de Ojeda","",""
"America Europe Connect (AEC)","","",""
"America Movil Submarine Cable System-1 (AMX-1)","America Movil Submarine Cable System-1 (AMX-1)","América Móvil Submarine Cable System (AMX-1)",""
"America Movil-1 (AM-1)","","",""
"America Movil-Telxius West Coast Cable","","",""
"American Samoa-Hawaii (ASH)","","",""
"Americas-I North","Americas-I North","",""
"Americas-II","Americas-II","",""
"Amerigo Vespucci","Amerigo Vespucci","",""
"Amitie","Amitié/AEConnect-3 (AEC-3)","","Amitié"
"Angola Domestic Network System (ADONES)","","",""
"Antillas 1","ANTILLAS 1","","ANTILLAS I"
"Aphrodite 2","","",""
"Apollo","Apollo","Apollo","Apollo"
"Apollo East and West","Apollo East and West","",""
"Apricot","Apricot","Apricot",""
"Aqualink","Aqualink","",""
"Arctic Fibre","","Arctic Fiber",""
"Argentina-Uruguay","","",""
"Asia Africa Europe-1 (AAE-1)","Asia Africa Europe-1 (AAE-1)","Asia-Africa-Europe 1 (AAE-1)","Asia-Africa-Europe 1 (AAE-1)"
"Asia Connect Cable 1 (ACC1)",Asia Connect Cable 1 (ACC1),"",""
"Asia Connect Cable-1 (ACC-1)","Asia Connect Cable 1 (ACC1)","",""
"Asia Direct Cable (ADC)","Asia Direct Cable (ADC)","Asia Direct Cable",""
"Asia Pacific Gateway (APG)","Asia Pacific Gateway (APG)","",""
"Asia Submarine-cable Express (ASE)",Asia Submarine-cable Express (ASE)/Cahaya Malaysia,"","Asia Submarine Cable Express"
"Asia Submarine-cable Express (ASE)/Cahaya Malaysia","Asia Submarine-cable Express (ASE)/Cahaya Malaysia","",Asia Submarine Cable Express
"Asia-America Gateway (AAG) Cable System","Asia-America Gateway (AAG) Cable System","Asia-America Gateway (AAG)","Asia-America Gateway (AAG)"
"Atisa","Atisa","",""
"Atlantic Cable System-Africa (ACSea-AFR)/South Atlantic Cable","","",""
"Atlantic Crossing-1 (AC-1)","Atlantic Crossing 1 (AC-1)","AC-1 (Atlantic Crossing 1)",""
"Atlantis-2","","",""
"Atlas Offshore","Atlas Offshore","",""
"Australia West Express (AWE)","","",""
"Australia-Japan Cable (AJC)","Australia-Japan Cable (AJC)","AJC (Australia-Japan Cable)","Australia–Japan Cable"
"Australia-Papua New Guinea-2 (APNG-2)","","",""
"Australia-Singapore Cable (ASC)","Australia-Singapore Cable (ASC)","ASC (Australia-Singapore Cable)","Australia Singapore Cable"
"Australia-Singapore Submarine Cable-1 (ASSC-1)","","",""
"Avassa","Avassa","",""
"Azerbaijan-Turkmenistan","","",""
"Azores Fiber Optic System (AFOS)","Azores Fiber Optic System (AFOS)","",""
"B2JS (Jakarta-Bangka-Batam-Singapore) Cable System","Jakarta-Bangka-Batam-Singapore (B2JS) Cable System","",""
"BALOK","BALOK","",""
"BARSAV","","BRUSA","BARSAV"
"BCF-1","","",""
"BCS East","BCS East","",""
"BCS East-West Interlink","BCS East-West Interlink","",""
"BCS North - Phase 1","BCS North - Phase 1","",""
"BCS North - Phase 2","BCS North - Phase 2","",""
"BERYTAR","BERYTAR","","BERYTAR"
"BEST Cable","","",""
"BKK Digitek","","",""
"BRUSA","BRUSA","BRUSA","BARSAV"
"BT Highlands and Islands Submarine Cable System","BT-Highlands and Islands Submarine Cable System","",""
"BT North Sea","BT North Sea (ICENI & MERCATOR)","BT North Sea",""
"BT-MT-1","BT-MT-1","",""
"BUGIO","BUGIO","",""
"Bahamas 2","BAHAMAS-2","",""
"Bahamas Domestic Submarine Network (BDSNi)","Bahamas Domestic Submarine Network (BDSNi)","","BDSNi (Bahamas Domestic Submarine Network international)"
"Bahamas Internet Cable System (BICS)","Bahamas Internet Cable System (BICS)","",""
"Balalink","BalaLink","BalaLink",""
"Balkans-Italy Network (BIN)","","",""
"Baltic Sea Submarine Cable","Baltic Sea Submarine Cable","",""
"Baltica","BALTICA","",""
"Bass Strait-1","Bass Strait-1","",""
"Bass Strait-2","Bass Strait-2","",""
"Basslink","Basslink","",""
"Batam Dumai Melaka (BDM) Cable System","Batam Dumai Melaka (BDM) Cable System","Batam-Dumai-Melaka (BDM)",""
"Batam Dumai Melaka Cable System (BDMCS)","","Dumai Malaka Cable System","Dumai-Malacca Cable System"
"Batam Sarawak Internet Cable System (BaSICS)","Batam Sarawak Internet Cable System (BaSICS)","Batam Sarawak Internet Cable System (BaSICS)",""
"Batam Singapore Cable System (BSCS)","Batam Singapore Cable System (BSCS)","",""
"Batam-Rengit Cable System (BRCS)","Batam-Rengit Cable System (BRCS)","",""
"Bay of Bengal Gateway (BBG)","Bay of Bengal Gateway (BBG)","Bay of Bengal Gateway (BBG)","Bay of Bengal Gateway (BBG)"
